name,price_cur,price_prev
"Мороженое ""Nestle"" 48 Копеек с шоколадным соусом брикет, 232г",179.90,
"Мороженое ""Чистая Линия"" Московская Лакомка, 80г",140.90,
"Мороженое ""Коровка из Кореновки"" Пломбир ванильный 15%, 100г",63.99,
"Пельмени ""Мираторг"" Домашние со свининой и говядиной, 800г",219.90,642.40
"Пельмени ""Caesar"" Standard с говядиной и свининой, 700г",129.90,399.90
"Котлеты ""Домилле"" Сочные, 560г",149.90,269.90
"Тесто слоеное ""Любимые традиции"", бездрожжевое, замороженное, 500г",59.99,99.99
"Мороженое ""Свитлогорье"" Пломбир двухслойный ванильно-шоколадный, 15%, 500г",499.90,
"Пельмени ""Цезарь"" Elite замороженные, 700г",129.90,399.90
"Пельмени ""Крутогорские"" с куриной грудкой, 700г",99.99,379.90
"Пельмени ""Цезарь"" Superior замороженные, 700г",129.90,399.90
"Томаты на ветке, сливовидные красные, 450г",159.90,
"Оливки ""Bonduelle"" без косточки, 300г",190.90,
"Кукуруза ""6 соток"" Сладкая, 425мл",109.90,
"Томаты ""Дядя Ваня"" в томатном соке, 670г",159.90,
"Кукуруза ""Bonduelle"" Молодая, 340г",173.90,
"Кукуруза ""Globus"" сладкая в зернах, 340г",79.99,109.90
"Кукуруза ""Bonduelle"" сладкая, 340г",109.90,
"Лечо ""Пиканта"", 520г",169.90,
"Маслины ""Iberica"" крупные без косточки, 360г",199.90,
"Икра ""Пиканта"" из кабачков, 520г",139.90,
"Маслины ""Bonduelle"" крупные без косточки, 300г",179.90,
"Томаты розовые фасованные, упаковка 600г",179.90,
"Томаты сливка фасованные, 600г",139.90,
"Томаты Кумато, 350г",139.90,
"Ананас ""Lorado"" шайбы в легком сиропе, 580мл",199.90,
"Маслины ""Д"" Gusto чёрные без косточки, 300г",99.99,
"Оливки ""Bonduelle"" Мансанилья с голубым сыром, 314мл",199.90,
"Оливки ""Iberica"" с анчоусом, 300г",169.90,
"Оливки ""Bonduelle"" Мансанилья с лимоном, 314мл",199.90,
"Оливки ""Д"" Gusto фаршированные анчоусом, 300г",99.99,
"Окорок ""Мясницкий ряд"" копчено-вареный, 300г",149.90,269.90
"Колбаса ""Черкизово"" Сальчичон сырокопченая, нарезка, 100г",184.90,
"Грудинка ""Рублевские колбасы"" Рублевская варено-копченая, 300г",229.90,319.90
"Шпикачки ""Мясной Дом"" Бородина Домашние, 480г",259.90,436.90
"Колбаса ""Рублевский"" Сальчичон, сырокопченая, 350г",579.90,
"Ветчина ""Папа может"" Рубленая, 300г",119.90,219.90
"Колбаса ""Брянский МК"" Праздничная в обсыпке сырокопченая, 300г",299.90,449.90
"Ветчина ""Мясницкий ряд"" От шефа, 400г",159.90,289.90
"Колбаса ""Брянский МК"" Салями Финская сырокопченая, 300г",239.90,389.90
"Сосиски ""Владимирский стандарт"" Баварские с сыром, 420г",119.90,229.90
"Сосиски ""Мясной дом Бородина"" Молочные ГОСТ, 480г",249.90,359.90
"Сосиски ""ОМПК"" Богатырские, 400г",89.99,219.90
"Колбаса ""Ближние горки"" Сервелат Австрийский, варено-копченая, 330г",179.90,379.90
"Колбаса ""ВелМит"" Фуэт, сыровяленая, 150г",149.90,249.90
